clinton_anger,clinton_contempt,clinton_disgust,clinton_fear,clinton_happiness,clinton_neutral,clinton_sadness,clinton_surprise,clinton_visible,frame_time,url
0.006001044,0.000825096,0.002991281,0.000270759,0.3854349,0.5216423,0.07822229,0.004612301,TRUE,74,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession74.jpg
0.001912105,0.007380203,0.002180386,0.000304408,0.37083143,0.5737875,0.005585499,0.038018465,TRUE,75,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession75.jpg
9.12E-10,8.07E-13,1.48E-09,2.85E-11,1,6.95E-11,7.91E-10,1.72E-09,TRUE,76,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession76.jpg
5.73E-06,1.19E-10,1.57E-06,1.68E-08,0.9999875,1.80E-08,5.20E-06,2.65E-09,TRUE,77,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession77.jpg
1.84E-10,8.17E-14,7.97E-09,1.65E-14,1,2.43E-12,2.39E-12,3.52E-10,TRUE,78,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession78.jpg
0.010351311,0.001863848,0.00486202,0.000877874,0.447011441,0.163262233,0.004268308,0.367503,TRUE,79,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession79.jpg
2.54E-06,6.68E-06,3.01E-06,1.63E-07,0.999208868,0.000766927,7.54E-06,4.30E-06,TRUE,80,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession80.jpg
,,,,,,,,FALSE,81,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession81.jpg
0.004147425,0.002277069,0.003765202,2.35E-05,0.570771635,0.391953528,0.026682695,0.000378945,TRUE,85,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession85.jpg
0.000232588,0.005247745,0.000249613,3.33E-05,0.474300951,0.516238749,0.002509271,0.001187783,TRUE,86,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession86.jpg
0.000550561,0.003635799,0.000545734,0.000168184,0.002284137,0.954399467,0.030495174,0.007920939,TRUE,87,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession87.jpg
0.00175533,0.003747344,0.002532774,0.00039494,0.7066395,0.274320066,0.001347592,0.009262426,TRUE,88,https://s3-us-west-2.amazonaws.com/post-election/hillary/concession88.jpg
